Year,Jurisdiction,Type,Stream,Fate,Tonnes
2006,NSW,Contaminated soils (N120),Total,Energy recovery,0.0
2006,NSW,Contaminated soils (N120),Total,Recycling,121590.75225900598
2006,NSW,Food organics,C&D,Disposal,0.0
2006,NSW,Food organics,C&D,Energy recovery,0.0
2006,NSW,Food organics,C&I,Disposal,409897.0
2006,NSW,Food organics,C&I,Energy recovery,111749.0
2006,NSW,Food organics,MSW,Disposal,783637.0
2006,NSW,Food organics,MSW,Energy recovery,213640.0
2006,NSW,Food organics,Total,Disposal,1193534.0
2006,NSW,Food organics,Total,Energy recovery,325389.0
2006,NSW,"Food-derived hazardous wastes (K100, K110)",C&D,Disposal,0.0
2006,NSW,"Food-derived hazardous wastes (K100, K110)",C&D,Energy recovery,0.0
2006,NSW,"Food-derived hazardous wastes (K100, K110)",C&D,Recycling,0.0
2006,NSW,"Food-derived hazardous wastes (K100, K110)",C&I,Disposal,2509.8560584889738
2006,NSW,"Food-derived hazardous wastes (K100, K110)",C&I,Energy recovery,0.0
2006,NSW,"Food-derived hazardous wastes (K100, K110)",C&I,Recycling,2575.15367765883
2006,NSW,"Food-derived hazardous wastes (K100, K110)",Total,Disposal,2509.8560584889738
2006,NSW,"Food-derived hazardous wastes (K100, K110)",Total,Energy recovery,0.0
2006,NSW,"Food-derived hazardous wastes (K100, K110)",Total,Recycling,2575.15367765883
2006,NSW,Garden organics,C&D,Disposal,18750.0
2006,NSW,Garden organics,C&D,Energy recovery,1195.0
2006,NSW,Garden organics,C&I,Disposal,105041.0
2006,NSW,Garden organics,C&I,Energy recovery,6697.0
2006,NSW,Garden organics,MSW,Disposal,425074.0
2006,NSW,Garden organics,MSW,Energy recovery,27099.0
2006,NSW,Garden organics,Total,Disposal,548866.0
2006,NSW,Garden organics,Total,Energy recovery,34991.0
2006,NSW,Glass from food and beverage containers,C&D,Recycling,6827.0
2006,NSW,Glass from food and beverage containers,C&I,Recycling,74170.0
2006,NSW,Glass from food and beverage containers,MSW,Recycling,276801.0
2006,NSW,Glass from food and beverage containers,Total,Recycling,357798.0
2006,NSW,Inorganic chemicals (D),C&D,Disposal,0.0
2006,NSW,Inorganic chemicals (D),C&D,Energy recovery,0.0
2006,NSW,Inorganic chemicals (D),C&D,Recycling,0.0
2006,NSW,Inorganic chemicals (D),C&I,Disposal,10821.631852449584
2006,NSW,Inorganic chemicals (D),C&I,Energy recovery,0.0
2006,NSW,Inorganic chemicals (D),C&I,Recycling,69528.06155835773
2006,NSW,Inorganic chemicals (D),Total,Disposal,10821.631852449584
2006,NSW,Inorganic chemicals (D),Total,Energy recovery,0.0
2006,NSW,Inorganic chemicals (D),Total,Recycling,69528.06155835773
2006,NSW,Oils (J),C&D,Disposal,0.0
2006,NSW,Oils (J),C&D,Energy recovery,0.0
2006,NSW,Oils (J),C&D,Recycling,0.0
2006,NSW,Oils (J),C&I,Disposal,34.715500861169744
2006,NSW,Oils (J),C&I,Energy recovery,28713.35377331594
2006,NSW,Oils (J),C&I,Recycling,131855.68032387484
2006,NSW,Oils (J),Total,Disposal,34.715500861169744
2006,NSW,Oils (J),Total,Energy recovery,28713.35377331594
2006,NSW,Oils (J),Total,Recycling,131855.68032387484
2006,NSW,Organic chemicals (M),C&D,Disposal,0.0
2006,NSW,Organic chemicals (M),C&D,Energy recovery,0.0
2006,NSW,Organic chemicals (M),C&D,Recycling,0.0
2006,NSW,Organic chemicals (M),C&I,Disposal,9295.83227376445
2006,NSW,Organic chemicals (M),C&I,Energy recovery,512.8764555609716
2006,NSW,Organic chemicals (M),C&I,Recycling,758.0040865705234
2006,NSW,Organic chemicals (M),Total,Disposal,9295.83227376445
2006,NSW,Organic chemicals (M),Total,Energy recovery,512.8764555609716
2006,NSW,Organic chemicals (M),Total,Recycling,758.0040865705234
2006,NSW,Organic solvents (G),C&D,Disposal,0.0
2006,NSW,Organic solvents (G),C&D,Energy recovery,0.0
2006,NSW,Organic solvents (G),C&D,Recycling,0.0
2006,NSW,Organic solvents (G),C&I,Disposal,4119.283935943522
2006,NSW,Organic solvents (G),C&I,Energy recovery,457.53675047796753
2006,NSW,Organic solvents (G),C&I,Recycling,639.410821260328
2006,NSW,Organic solvents (G),Total,Disposal,4119.283935943522
2006,NSW,Organic solvents (G),Total,Energy recovery,457.53675047796753
2006,NSW,Organic solvents (G),Total,Recycling,639.410821260328
2006,NSW,Other,C&D,Disposal,0.0
2006,NSW,Other,C&D,Energy recovery,0.0
2006,NSW,Other,C&D,Recycling,0.0
2006,NSW,Other,C&I,Disposal,8541.128063238395
2006,NSW,Other,C&I,Energy recovery,0.0
2006,NSW,Other,C&I,Recycling,892.9391092161716
2006,NSW,Other,Total,Disposal,8541.128063238395
2006,NSW,Other,Total,Energy recovery,0.0
2006,NSW,Other,Total,Recycling,892.9391092161716
2006,NSW,"Other hazardous organic wastes (K140, K190)",C&D,Disposal,0.0
2006,NSW,"Other hazardous organic wastes (K140, K190)",C&D,Energy recovery,0.0
2006,NSW,"Other hazardous organic wastes (K140, K190)",C&D,Recycling,0.0
2006,NSW,"Other hazardous organic wastes (K140, K190)",C&I,Disposal,0.0
2006,NSW,"Other hazardous organic wastes (K140, K190)",C&I,Energy recovery,0.0
2006,NSW,"Other hazardous organic wastes (K140, K190)",C&I,Recycling,0.0
2006,NSW,"Other hazardous organic wastes (K140, K190)",Total,Disposal,0.0
2006,NSW,"Other hazardous organic wastes (K140, K190)",Total,Energy recovery,0.0
2006,NSW,"Other hazardous organic wastes (K140, K190)",Total,Recycling,0.0
2006,NSW,Other miscellaneous (other T),C&D,Disposal,0.0
2006,NSW,Other miscellaneous (other T),C&D,Energy recovery,0.0
2006,NSW,Other miscellaneous (other T),C&D,Recycling,0.0
2006,NSW,Other miscellaneous (other T),C&I,Disposal,1617.0285768487172
2006,NSW,Other miscellaneous (other T),C&I,Energy recovery,0.0
2006,NSW,Other miscellaneous (other T),C&I,Recycling,79.27730587855623
2006,NSW,Other miscellaneous (other T),Total,Disposal,1617.0285768487172
2006,NSW,Other miscellaneous (other T),Total,Energy recovery,0.0
2006,NSW,Other miscellaneous (other T),Total,Recycling,79.27730587855623
2006,NSW,Other organics,C&D,Disposal,0.0
2006,NSW,Other organics,C&D,Energy recovery,0.0
2006,NSW,Other organics,C&I,Disposal,42868.0
2006,NSW,Other organics,C&I,Energy recovery,3285.0
2006,NSW,Other organics,MSW,Disposal,8110.0
2006,NSW,Other organics,MSW,Energy recovery,621.0
2006,NSW,Other organics,Total,Disposal,50978.0
2006,NSW,Other organics,Total,Energy recovery,3906.0
2006,NSW,Other soil/sludges (other N),C&D,Disposal,0.0
2006,NSW,Other soil/sludges (other N),C&D,Energy recovery,0.0
2006,NSW,Other soil/sludges (other N),C&D,Recycling,0.0
2006,NSW,Other soil/sludges (other N),C&I,Disposal,21774.342066015422
2006,NSW,Other soil/sludges (other N),C&I,Energy recovery,0.0
